MUNICÍPIO,UNIDADE,ENDEREÇO,BAIRRO,TELEFONE
SANTOS,USF Bom Retiro,RUA JOAO FRACAROLLI s/n,SANTA MARIA,(13)3268-1358
SANTOS,USF Caruara,RUA ANDRADE SOARES 800,CARUARA,(13)3222-3998
SANTOS,USF Centro Histórico - Vila Nova,PRACA IGUATEMI MARTINS 29,VILA NOVA,(13)3232-2300
SANTOS,USF Martins Fontes,RUA DONA LUIZA MACUCO 40,VILA NOVA,(13)3352-2001
SANTOS,USF Monte Cabrao,RUA PRINCIPAL s/n,MONTE CABRAO,(13)3222-3913
SANTOS,USF Morro São Bento,RUA DAS PEDRAS s/n,MORRO SAO BENTO,(13)3296-2679
SANTOS,USF Penha,RUA TRES 150,MORRO PENHA,(13)3223-4318
SANTOS,USF Piratininga,PRACA JOAO MENDES DE MORAES s/n,JARDIM PIRATININGA,(13)3299-8314
SANTOS,USF Sao Jorge e Caneleira,RUA FRANCISCO FERREIRA CANTO 351,CANELEIRA,(16)3374-1617
SANTOS,SEUB DE SAUDE DO CAMPO GRANDE,RUA DOUTOR CARVALHO MENDONCA 607,CAMPO GRANDE,(13) 3239-3039
SANTOS,USF DO MORRO JOSE MENINO SANTOS,RUA DR CARLOS ALBERTO CURADO 77,MORRO JOSÉ MENINO,(13) 3251-9424
SANTOS,USF MONTE SERRAT,PRAÇA CORREA DE MELO 42,CENTRO,(13) 3221-8316
SÃO CARLOS,USF ARNON DE MELLO,Av Gildeney Carreri 391,CONJUNTO HABITACIONA,(16)6337-1525
SÃO CARLOS,USF Jardim São Carlos,RUA TREZE DE MAIO 1173,JD SAO CARLOS,(16)3374-9141
SÃO CARLOS,USF SANTA ANGELINA,Rua Padre José de Mambro 104,Sta Angelina,(16) 3378-3355
SÃO CARLOS,USF Agua Vermelha,Rua Bela Cintra 05,CENTRO,(16) 3375-5065
SÃO CARLOS,USF CIDADE ARACY EQUIPE I,Rua Hilário Martins Dias s/n,CENTRO,(16) 3375-5220
SÃO CARLOS,USF ANTENOR GARCIA,Av. Tetracampionato950,CIDADE ARACY,(17)3693-1124
SÃO FRANCISCO,UBS USF Sao Francisco,RUA SAO PAULO 1374,CENTRO,(19) 3631-7775
"SÃO JOÃO DA BOA VISTA,Centro de Especialidades Dr Joao Batista Figueiredo Costa,Rua Joao Francisco Valim 42,JD. SANTA RITA,""(19) 36333200 """
SÃO JOÃO DA BOA VISTA,Ambulatorio de Saude Mental,RUA SILVIANO BARBOSA 54,PERPETUO SOCORRO,(17)3875-6151
SÃO JOÃO DO IRACEMA,UBS Sao joao de iracema Joao Roberto,RUA DEP ULISSES GUIMARAES 361,CENTRO,(16)3811-0476
"SÃO JOAQUIM DA BARRA,CAPS I - Prof Alexandre Dezem,RUA BELA VISTA 180,VILA DEIENO,""(16)3142-1707 """
SÃO JOSÉ DA BELA VISTA,ESF Centro,CORONEL JOSE ESTEVES 1525,CENTRO,(12)3117-1252
SÃO JOSÉ DO BARREIRO,PSF Urbano,PRACA ADELINO FIGUEIREDO s/n,CENTRO,(12)3921-7219
SÃO JOSÉ DOS CAMPOS,UBS Centro II - SJC,AVENIDA TIVOLI 195,VILA BETANIA,(12) 3905-1005
SÃO JOSÉ DOS CAMPOS,UBD EUGENIO DE MELO,RUA CHICO BUQUIRA 411 12247-550,GALO BRANCO,(12) 3944-11333
SÃO JOSÉ DOS CAMPOS,UBS PARQUE INTERLAGOS,RUA UBIRAJARA R DE SOUZA 225,TORRAO DE OURO,(12) 3912-2872
SÃO JOSÉ DOS CAMPOS,UBS JARDIM AMERICANO,RUA JULIA CURSINO 161,JARDIM AMERICANO,(12) 3917-3496
SÃO JOSÉ DOS CAMPOS,UBS JARDIM SATÉLITE,AV ANDROMEDA 1960 12230-971,JARDIM SATELITE,(12) 3907-1472
SÃO JOSÉ DOS CAMPOS,UBS PARAISO DO SOL,RUA JOÃO G B NETO 172,PARAISO DO SOL,(12) 3636-1938
SÃO JOSÉ DOS CAMPOS,UBS BOSQUE DOS EUCALIPTOS,RUA MARIA PALMIRA FERREIRA IVO 155,BOSQUE DOS EUCALIPTOS,(12) 3907-1793
SÃO JOSÉ DOS CAMPOS,UBS NOVO HORIZONTE,AV TANCREDO NEVES 5500,NOVO HORIZONTE,(12) 3931-4735
SÃO JOSÉ DOS CAMPOS,UBS LIMOEIRO,RUA CORIFEU A MARQUES3350,LIMOEIRO,(12) 3913-5519
SÃO JOSÉ DOS CAMPOS,CAPS ALCOOL E DROGAS,SEBASTIÃO HUMEL 785,CENTRO,(12) 3941-2540
SÃO JOSÉ DOS CAMPOS,UBS JARDIM PAULISTA,RUA MARTINS PEREIRA 263,JD PAULISTA,(12) 3944-1091
SÃO JOSÉ DOS CAMPOS,UBS PUTIM,RUA ROBERTO APARECIDO CRUZ 100,SANTO ONOFRE,(12) 3929-1309
SÃO JOSÉ DOS CAMPOS,UBS JARDIM SANTA INES II,RUA DOS CIRURGIOES DENTISTA 215,JARDIM SANTA INES II,(12) 3944-2404
SÃO JOSÉ DOS CAMPOS,UBS SÃO JUDAS TADEU,RUA SÃO NICOLAU 10 12228-430,SAO JUDAS TADEU,(12) 3943-2266
SÃO JOSÉ DOS CAMPOS,UBS VILA MARIA,RUA SÃO PEDRO 55,MARIA VL,(12) 3921-5859
SÃO JOSÉ DOS CAMPOS,UBS VILA NAIR,RUA SUECIA 50,NAIR JD,(12) 3929-7821
SÃO JOSÉ DOS CAMPOS,UBS VILA TESOURO,PRAÇA ASSIS CHATEUBRIAND 110,TESOURO VL,(12) 3966-3399
SÃO JOSÉ DOS CAMPOS,UBS DOM PEDRO I,JOSE EUGENIO DA SILVA 510,RES. DOM PEDRO,(12) 3966-3103
SÃO JOSÉ DOS CAMPOS,UBS COLONIAL,JOSE RIBEIRO BASTOS 185,COLONIAL JD,(19)3682-7863
SÃO JOSÉ RIO PARDO,ESF Vale do Redentor,RUA JOAO FERNANDES DA SILVA s/n,VALE DO REDENTOR,(17)3226-3033
SÃO JOSÉ RIO PRETO,Centro de Saude Escola Parque Estoril,RUA CAETANO ELZO ROGERIO 1800,ESTORIL PQ,(17)3215-3601
SÃO JOSÉ RIO PRETO,ESF Jardim Felicidade - Dr Joao Roberto Antonio I,RUA MARGINAL 02,FELICIDADE JD,(17)3201-5000
SÃO JOSÉ RIO PRETO,HOSPITAL DE BASE DE SAO JOSE DO RIO PRETO,AVN BRIGADEIRO FARIA LIMA 5544,SAO PEDRO,(17)3206-2088
SÃO JOSÉ RIO PRETO,UBS Santo Antonio,RUA IDA TAGLIAVINI POLACHINI 580,SANTO ANTONIO JD,(17)3238-1227
SÃO JOSÉ RIO PRETO,UBS Vila Toninho,RUA ODILON AMADEU 610,TONINHO VL,(17)3224-9389
SÃO JOSÉ RIO PRETO,UBSF JARDIM AMERICANO,AV ANTONIO TAVARES PEREIRA LIMA 755,AMERICANO JD,(17)3219-9320
SÃO JOSÉ RIO PRETO,UBSF Solo Sagrado,AV BEATRIZ DA CONCEICAO 406,SOLO SAGRADO,(12) 3671-1107
SAO LUIS DO PARAITINGA,CENTRO DE SAUDE II SAO LUIS DO PARAITINGA,Rua Coronel Domingue de Castro 454,CENTRO,(14) 3841-5329
SÃO MANUEL,UBS Dr Wesley Fabiano dos Santos,Antonio Serafim 150 - cep: 18650-000,AYRES VL,(15)3279-8150
SÃO MIGUEL ARCANJO,USF DR FABIO CESAR DE MORAES SAO MIGUEL ARCANJO,RUA MANOEL FOGACA 861,CENTRO,(19)3481-9396
SÃO PEDRO,PSF ALPES DAS AGUAS SAO PEDRO,VITORIA REGIA 2,ALPES DAS AGUAS,(19)38419374
SÃO PEDRO,PSF SAO DIMAS SAO PEDRO,Rua Sebastião Giocondo 22 - CEP: 13520-000,SÃO DIMAS,(11)47122500
SÃO ROQUE,CS MENTAL DR ANTONIO PASCHOAL DE LUCCA PAULINO,Av. John Kennedy 509,CENTRO,(19) 3646-9984
SÃO SEBASTIÃO DA GRAMA,ESF Saude Certa,RUA JOSE CARDOSO DA SILVA s/n,SAO SEBASTIAO,(16)3984-9140
SÃO SIMÃO,CSII Dr Joaquim Graciano Madruga,RUA QUINTINO BOCAIUVA 1435 CENTRO,CENTRO,(13)3469-8984
SÃO VICENTE,UBS Central,AV ANTONIO EMMERICK 509,CASCATINHA VL,(17)3837-1238
SEBASTIANÓPOLIS DO SUL,UBS Frederico Raia,RUA MAL CASTELO BRANCO 601,CENTRO,(16) 3982-1300
SERRA AZUL,Maria Rita de Jesus Queiroz,Rua Francisco Ferreira de Freitas n 370,CENTRO,(19) 3892-3809
SERRA AZUL,Hermelinda Paim da Silva,Rua Lazaro Ramalho 650,Santa Cruz,(16) 3982-1300
SERRA AZUL,ESF 2 Dr Luiz Antonio Araujo Dias,Rua Boa Ventura Vilela dos Reis 99,Cohab Sebastiao Zerbeti,(16) 3982-1692
SERRA NEGRA,ESF DO CENTRO,PRAÇA LIONS INTERNACIONAL S/N,CENTRO,(16)3987-8333
SERRANA,Ambulatorio Saude Mental Deusdedit Mega,RUA LINDOLFO MARQUES 50,JARDIM DOM PEDRO I,(16)3942-3599
SERTÃOZINHO,CAPS AD JOSE APARECIDO LELLIS SERTAOZINHO,RUA CARLOS GOMES 1354,CENTRO,(13) 3872-1278
SETE BARRAS,UNIDADE DE PSF III OURO VERDE,Rua Capitão Alberto Mendes Junior 80 11910-000,CENTRO,(19)3895-8369
SOCORRO,ESF Jd Santa Cruz Joao de Lino,RUA VEREADOR MARIO TAVARES DE TOLEDO 80,SANTA CRUZ  JD,(19) 38958369
SOCORRO,ESF Moraes,EST MUNIC DOS MORAES s/n,DOS MORAES,(19)3855-6075
SOCORRO,ESF Oratorio - Postinho,ESTRADA MUNICIPAL DO ORATORIO s/n,ORATORIO,telefone não informado
SOCORRO,ESF Rio do Peixe,EST MUNICIPAL SOCORRO MUNHOZ s/n,RIO DO PEIXE,(19)3895-1313
SOCORRO,UBS Jd. Araujo Teixeira,RUA OTAVIO ZUCATO 597,ARAUJO JD,(15)3332-9121
SOROCABA,Conjunto Hospitalar de Sorocaba,AV COMENDADOR PEREIRA INACIO 564,LAGEADO,(15)3219-2200
SOROCABA,POLICLINICA MUNICIPAL DR EDWARD MALUF SOROCABA,AV DR ROBERTO SIMONSEN 987,SANTA ROSALIA,(15)32335628/ 32218546
SOROCABA,CAPS AD III Roda Viva,Rua Padre José de Anchieta 295,CENTRO,(15)3227-2370
SOROCABA,CS Vila Haro,RUA ARISTIDES 379,HARO VL,(15)3221-1214
SOROCABA,UBS Nova Esperança,RUA PAULO MAYER CATTINI 689,NOVA ESPERANCA JD,(15)3225-1121
SOROCABA,USF Cajuru do Sul,AVENIDA PARANA 3719,CAJURU DO SUL,(15)3239-5016
SOROCABA,USF Dr Ulisses Guimaraes,RUA FERDINANDO IRINEU CORREA s/n,CONJUNTO HABITACIONAL,(15) 3233-0974
SOROCABA,UNIDADE DE SAUDE DA FAMILIA VILA SABIA SOROCABA,RUA DIONISIO BUENO SAMPAIO 91,SABIA,(15) 32331559
SOROCABA,USF Vila Barão,Rua Afonso Muraro 51,BARÃO VL,(15) 3233-1559
SUD MENUCI,UBS RUTH FERREIRA SUD MENNUCCI,AVENIDA PIONEIROS 547,CENTRO,(19)3864-1305
SUMARÉ,CIS Dr Walter Pimentel / USF CIS NOVA VENEZA,RUA PARAIBA 211,SÃO FRANCISCO JD,(19)3832-0904
SUMARÉ,PSF Salerno,RUA LINDARIO CONSTANTINO 666,ITALIA JD,(19)3832-1839
SUMARÉ,UBS Alberto Carlos Belintani,RUA ALDO DE OLIVEIRA MULLER 417,DAS NACOES PQ,(19) 3828-3928/(19) 3873-7318
SUMARÉ,UBS Picerno,RUA DA SAUDE s/n,PICERNO II,(19)3864-2576
SUMARÉ,USF Maria Antônia,RUA OSVALDO VACARI 685,MARIA ANTONIA JD,(19)3864-1302
SUMARÉ,USF São Judas,RUA CIRCULAR s/n,SÃO JUDAS TADEU,tel (18)3706-1339
SUZANÁPOLIS,UBS II Suzanapolis,RUA PRESIDENTE VARGAS 713,CENTRO,(16) 3385-1872
TABATINGA,UNIDADE DE SAUDE DA FAMILIA DA VILA SANTA CRUZ,TRAVESSA JOSE DE SOUZA JORDAO85,CENTRO,(18) 3997-1103
TACIBA,UBS II DE TACIBA,R MANOEL XAVIER 215 19590-000,CENTRO,(19)3673-9504
TAMBAÚ,CS III Dr Wilson Martins Lara,RUA TREZE DE MAIO 40,CENTRO,(19)3673-9505
TAMBAÚ,UBS Jose Pereira de Almeida,RUA JOSE DOVIGO 40 JARDIM DAS PITAS,DAS PITAS JD,(19)3673-9508
TAMBAÚ,UBS Riccieri Franco,RUA BENEDITO FERREIRA 145 CH INEZ CORSO ANDREA,CH INEZ CORSO ANDREA,(19) 3657-1656
TAPIRATIBA,Centro de Saude II Sizenando Nabuco Tapiratiba,Rua João Batista de Lima Figueiredo 393,CENTRO,(16)3958-9209
TAQUARAL,ESF Caetano Pitelli,RUA CENTRAL 530,CENTRO,(16)3252-6033
TAQUARITINGA,Ambulatorio Saude Mental Adulto,AV CAPITAO JOSE CAMARGO DE LIMA 333,SAO SEBASTIAOVL,(18)3329-1278
TARUMÃ,CLINICA DE SAUDE MENTAL DE TARUMA,AVENIDA FLAMBOYANTS 407,ARVORES,(15) 3251-3709
TATUI,ESF DR SIMEAO ORSI VILA ANGELICA,RUA JOSE ORSI 365,ANGELICA VL,(15) 3259-5167
TATUI,ESF Jd Gonzaga,RUA ANTONIO SILVERIO FERNANDES75 JARDIM GONZAGA,GONZAGA JD,(15)3251-5789
TATUI,UBS SÃO CRISTÓVÃO,PRACA DEOCACIR DE OLIVEIRA E FILHO 114 CEP: 18280018,SAO CRISTOVÃO,(15) 32514692
TATUI,ESF OTHONIEL CERQUEIRA LUZ CDHU,RUA SERGIO MASCARENHAS C BARROS s/n,CDHU,(12)3631-6645
TAUBATÉ,CAPS,RUA JUCA ESTEVES 184 CENTRO,CENTRO,(18)3282-4412
TEODORO SAMPAIO,CENTRO SAUDE WALTER VENTURA FERREIRA,JOSE MIGUEL DE CASTRO ANDRADE 1186,CENTRO,(17)3395-1144
TEODORO SAMPAIO,ESF 2 BAIRRO DA ESTACAO,RUA LUZIA RICARDO DA FOSECA SABINO 2202,ESPLANADA JD,(15)3282-3300
TERRA ROXA,CS III - Laura do Val Cervi,RUA VALENTIM SILVA 410,CENTRO,(15)3282-3311
TIETÊ,PSF do Bairro COHAB,RUA PEDRO LAZARINI 34 COHAB,COHAB,(15)3282-8419
TIETÊ,PSF do Bairro Jardim da Serra,AV SAO PAULO s/n,DA SERRA JD,(15)3282-4897
TIETÊ,PSF Povo Feliz,POVO FELIZ,POVO FELIZ,(15)3282-4732
TIETÊ,PSF São Pedro,RUA RAFAEL SIDNEY PANNUNZIO 150 SAO PEDRO,SAO PEDRO,(15)3285-9450
TIETÊ,UBS Jardim Bonanza,RUA AUGUSTO ASSIS CRUZ 160 JD BONANZA,BONANZA JD,(17) 3691-1538
TIETÊ,UBS Ruy Silveira Mello - CSII,AV XI DE AGOSTO 75 CENTRO,CENTRO,(11)4015-6218
TRÊS FRONTEIRAS,CENTRO DE SAÚDE TRÊS FRONTEIRAS,MIGUEL RENDA 154,CENTRO,(14)3441-6200
TUIUTI,CS Padre Cesar Corneo,RUA JOAQUIM SILVEIRA LIMA 129,CENTRO,(14)3441-6100
TUPÃ,AMB DE SAUDE MENTAL DE TUPA,AVN TAPUIAS 530 CENTRO,CENTRO,(18) 3851-2399
TUPÃ,AME AMBULATORIO DE ESPECIALIDADES MEDICAS DE TUPA,RUA MANDAGUARIS 970 VILA SANTA AMALIA,SANTA AMALIA VL,tel (18)3696-1223
TUPI PAULISTA,CENTRO DE ESPECIALIDADES MEDICAS DR KANJI KAWAMURA,RUA ALMIRANTE BARROSO 1115,CENTRO,(17)3667-1124
TURIÚBA,UBS Benedito Aparecido Fabricio Santos,RUA SABINA DA GLORIA 572 CENTRO,CENTRO,(17)3807-8750
TURMALINA,UBS ENFERMEIRA ANNE LARISSA LEOCI,RUA DUQUE DE CAXIAS 279 CENTRO,CENTRO,(17)3826-1273
UBARANA,UBS Maria de Oliveira Palma,RUA ARISTIDES ALVES DE LIMA 609 CENTRO,CENTRO,(17)3101-0220
UCHOA,USF Central Dr Miguel José Chaddad,AV EDUARDO HIDALGO 428 CENTRO,CENTRO,(17) 3634-3135
UCHOA,USF Dr Eduardo Lainetti,RUA FRANCISCO ABDALLA 220 SAO MIIGUEL,SAO MIIGUEL,(14) 3582-1110
URÂNIA,CS URANIA,RUA CATANDUVA 123,CENTRO,( 17) 3552-2344
URU,CS Uru III,Av. Pres. Vargas 157-237,CENTRO,(17) 3552-3016
URUPÊS,ESF Maria Jordan Marchioni,Rua Nilo Peçanha 320,Boa Vista,(17)3485-9030
URUPÊS,ESF MUNDO NOVO,RUA CONSELHEIRO ANTONIO PRADO 111,CENTRO,(19)3829-5120
VALENTIM GENTIL,ESF Central,AVENIDA CAVALIN 733 CENTRO,CENTRO,(19) 3859-2015
VALINHOS,Ambulatório de Especialidades/ Creaps,AV DOS ESPORTES 333 CENTRO,CENTRO,(19) 3829-2073
VALINHOS,Programas e Projetos,Rua Clóvis Bevilacqua 15,BELA VISTA,tel (18)3401-3459
VALINHOS,Centro de Referencia Psicossocial CREAPS,Rua Luis Moscatini 34,Capuava,(11)4598-4411
VALPARAISO,CAPS I Recomeço,RUA TENENTE LANDIM 371 PEDRO SAMUEL DA SILVA,PEDRO SAMUEL DA SILVA,(11) 4596-3334
VARGEM,CENTRO DE SAUDE DR ALBERT SABIN DE VARGEM,RUA VICENTE PEDRO DA SILVA 50,CENTRO,(11)4606-1452
VÁRZEA PAULISTA,UBS MARAJÓ,RUA ANANATUBA 268,MARAJO VL,(19)3886-2394
VÁRZEA PAULISTA,Ubs Sao Jose,GUAXUPE s/n JD CRUZ ALTA,JD CRUZ ALTA,(16)3287-1214
VINHEDO,Centro Médico Dr Manoel Matheus Netto,AV PRES CASTELO BRANCO 1375,SAO MATHEUS,telefone não informada
VISTA ALEGRE DO ALTO,Unidade Mista de Saude de Vista Alegre do Alto,AVENIDA 18 DE FEVEREIRO 27,CENTRO,(15)3243-3762
VOTORANTIM,Centro de Atenção Psicosocial Alcool e Drogas,AV LUIZ DO PATROCINIO FERNANDES 1205 RIO ACIMA,RIO ACIMA,17-34236343
VOTORANTIM,Unidade de Saude da Família Jd Tatiana,RUA ADRIANO MACIEL DE QUEIROZ s/n,TATIANA JD,(18)3694-1006
VOTUPORANGA,CAPS AD DE VOTUPORANGA,RUA JAVARI 3587,NOVA VL,17-34236343
ZACARIAS,UBS II Maria Werdekim (CS Zacarias),RUA JOSE FELIPE DE OLIVEIRA 999,CENTRO,(18)3694-1006
